"","date","allMean","sd"
"458","2018-04-29",0.0469285,0.462902375947402
"460","2018-04-30",-0.0320282,0.484755384853804
"467","2018-04-30",-0.0337368,0.484536600377887
"459","2018-05-01",-0.0139489,0.415811805915597
"465","2018-05-01",-0.0161214,0.415796669998739
"469","2018-05-02",0.0292776,0.463878833444942
"464","2018-05-03",-0.0105145,0.447653442519713
"463","2018-05-04",-0.060076,0.46883681206151
"466","2018-05-05",-0.0500914,0.470890790445131
"468","2018-05-06",-0.0187798,0.453065881072455
"473","2018-05-07",-0.0404279,0.478194853581247
"471","2018-05-08",0.0053641,0.425039103661287
"476","2018-05-09",-0.0093228,0.421628947512099
"474","2018-05-10",0.0186698,0.442507502815444
"475","2018-05-11",-0.0666101,0.427155649720321
"470","2018-05-12",-0.0203881,0.457857465821395
"472","2018-05-13",0.046434,0.412609716080463
"483","2018-05-14",0.0130021,0.468424984480536
"480","2018-05-15",-0.039023,0.446125587868483
"477","2018-05-16",-0.0340031,0.425314360562149
"478","2018-05-17",-0.047455,0.435029361624017
"481","2018-05-18",-0.0667161,0.439179971459071
"479","2018-05-19",-0.0133704,0.454461657264769
"482","2018-05-20",-0.014469,0.442124595831311
"487","2018-05-21",-0.0340469,0.412188458633172
"484","2018-05-22",-0.0678181,0.409509181707065
"489","2018-05-23",-0.0571559,0.42803982663438
"485","2018-05-24",0.0399401,0.433463165703835
"486","2018-05-25",-0.036003,0.41604819926422
"490","2018-05-26",-0.0513809,0.45880224766798
"488","2018-05-27",-0.0475771,0.446549687700697
"492","2018-05-28",-0.0511703,0.445928036714345
"493","2018-05-29",-0.1259554,0.44979163283774
"494","2018-05-30",-0.0887079,0.455864463615656
"495","2018-05-31",-0.0639056,0.456678697082139
"491","2018-06-01",-0.0120145,0.463928638326791
"497","2018-06-02",-0.0205576,0.447714709454849
"496","2018-06-03",-0.0408658,0.43579469646883
"499","2018-06-04",-0.0353954,0.480434789850652
"504","2018-06-05",0.0177991,0.460882041534697
"498","2018-06-06",0.0196921,0.454088734530587
"501","2018-06-07",-0.0284518,0.437456999277369
"502","2018-06-08",-0.000429,0.455395718665646
"503","2018-06-09",-0.0150549,0.448671330726613
"500","2018-06-10",-0.0598956,0.437284060972544
"505","2018-06-11",-0.0227532,0.439778780990807
"507","2018-06-12",-0.0046962,0.480434573366197
"508","2018-06-13",0.0201484,0.472032964672426
"509","2018-06-14",-0.0904532,0.427889155143899
"506","2018-06-15",-0.0519244,0.44834094395297
"511","2018-06-16",-0.0461629,0.446045978430016
"510","2018-06-17",-0.0994842,0.440089211944987
"516","2018-06-18",-0.1133769,0.431473121406641
"512","2018-06-19",-0.0865782,0.421773440326391
"514","2018-06-20",-0.1021849,0.411236959017535
"517","2018-06-21",-0.09981,0.442514254934234
"515","2018-06-22",-0.1365506,0.464165556886376
"518","2018-06-23",-0.0454796,0.448257344863238
"513","2018-06-24",-0.1127322,0.431435501996718
"523","2018-06-25",-0.1170594,0.447811661629797
"525","2018-06-26",-0.061143,0.467961223106146
"521","2018-06-27",0.0819494,0.456955636883538
"519","2018-06-28",-0.0761188,0.442720543827096
"520","2018-06-29",-0.0352751,0.473888860926262
"522","2018-06-30",-0.0326769,0.457005336135575
"524","2018-07-01",-0.026882,0.46253183446764
"526","2018-07-02",-0.0280419,0.445718741735626
"531","2018-07-03",0.0079255,0.455413780006436
"530","2018-07-04",0.0235847,0.462069589949295
"527","2018-07-05",0.0184749,0.454011895328735
"532","2018-07-06",-0.0705881,0.454360593128839
"529","2018-07-07",-0.0769086,0.460230290556847
"528","2018-07-08",-0.0282931,0.477975502136239
"537","2018-07-09",0.0257074,0.456502305082066
"538","2018-07-10",-0.0589517,0.46204449718302
"533","2018-07-11",-0.0359596,0.445476797586406
"536","2018-07-12",-0.0885315,0.461647961479037
"534","2018-07-13",-0.0795622,0.432302761720487
"535","2018-07-14",-0.0284905,0.439308856022446
"539","2018-07-15",-0.0643666,0.450085025861159
"546","2018-07-16",-0.0409391,0.433314562299942
"544","2018-07-17",-0.0042452,0.436675303694816
"542","2018-07-18",-0.0724953,0.446195758146478
"541","2018-07-19",0.005944,0.447308890839429
"540","2018-07-20",-0.0519228,0.427659034980158
"543","2018-07-21",-0.0065186,0.432321596192048
"545","2018-07-22",-0.0071468,0.438299358988534
"548","2018-07-23",-0.0301974,0.434962397378486
"547","2018-07-24",-0.0586953,0.458317608223719
"550","2018-07-25",-0.0733961,0.429831663020292
"552","2018-07-26",-0.0645616,0.441856247059425
"553","2018-07-27",-0.0729749,0.448014234796161
"551","2018-07-28",-0.0049319,0.450092782004322
"549","2018-07-29",-0.0209906,0.449373545495994
"558","2018-07-30",-0.0050542,0.476531801564555
"555","2018-07-31",0.0512763,0.427584856172795
"554","2018-08-01",-0.0677206,0.457576199441842
"557","2018-08-02",-0.0433073,0.455580414808089
"560","2018-08-03",-0.005613,0.449110277472026
"559","2018-08-04",-0.0811175,0.479152244243675
"556","2018-08-05",-0.0436467,0.454266005385732
