president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,3/26/2018,42.51164,46.39627,38.62701,52.90974,56.57644,49.24303,3/26/2018 16:24
Donald Trump,All polls,3/26/2018,41.09504,45.39022,36.79985,53.39474,57.34246,49.44703,3/26/2018 16:24
Donald Trump,Voters,3/25/2018,42.35456,46.30828,38.40084,52.82531,56.55542,49.09519,3/25/2018 13:50
Donald Trump,All polls,3/25/2018,40.74137,45.14291,36.33984,53.48326,57.42796,49.53856,3/25/2018 13:49
Donald Trump,Adults,3/25/2018,39.4158,43.12585,35.70574,54.20882,58.29647,50.12117,3/25/2018 13:49
Donald Trump,Adults,3/24/2018,39.4158,43.12585,35.70574,54.20882,58.29647,50.12117,3/25/2018 13:50
Donald Trump,All polls,3/24/2018,40.41634,44.74879,36.0839,53.52802,57.52327,49.53277,3/25/2018 13:49
Donald Trump,Voters,3/24/2018,41.95313,45.92898,37.97727,52.8746,56.68957,49.05962,3/25/2018 13:50
Donald Trump,All polls,3/23/2018,40.67521,45.03477,36.31564,53.18119,57.07043,49.29195,3/23/2018 13:24
Donald Trump,Adults,3/23/2018,39.77478,43.54115,36.00842,53.7398,57.74566,49.73394,3/23/2018 13:24
Donald Trump,Voters,3/23/2018,42.10215,46.15028,38.05403,52.51001,56.20933,48.81068,3/23/2018 13:24
Donald Trump,Adults,3/22/2018,39.61889,43.60841,35.62936,54.17891,58.1848,50.17303,3/22/2018 9:30
Donald Trump,Voters,3/22/2018,41.91279,46.16485,37.66073,52.78131,56.57306,48.98956,3/22/2018 9:30
Donald Trump,All polls,3/22/2018,40.63551,45.22917,36.04184,53.40972,57.33537,49.48407,3/22/2018 9:30
Donald Trump,Voters,3/21/2018,41.84569,46.02766,37.66371,52.80284,56.5997,49.00597,3/21/2018 15:05
Donald Trump,Adults,3/21/2018,39.61889,43.60841,35.62936,54.17891,58.1848,50.17303,3/21/2018 15:05
Donald Trump,All polls,3/21/2018,40.58772,45.12106,36.05438,53.42529,57.36262,49.48797,3/21/2018 15:05
Donald Trump,Adults,3/20/2018,39.91188,43.94455,35.87922,54.1452,58.21628,50.07412,3/20/2018 16:10
Donald Trump,Voters,3/20/2018,42.0102,46.33399,37.68641,52.84654,56.98879,48.70428,3/20/2018 16:10
Donald Trump,All polls,3/20/2018,40.73125,45.33642,36.12609,53.52146,57.67319,49.36973,3/20/2018 16:10
Donald Trump,Adults,3/19/2018,39.92498,44.04139,35.80856,54.20846,58.39294,50.02398,3/19/2018 18:48
Donald Trump,Voters,3/19/2018,41.74577,46.24588,37.24566,53.18254,57.60318,48.76191,3/19/2018 18:48
Donald Trump,All polls,3/19/2018,40.73995,45.40366,36.07623,53.55711,57.79469,49.31954,3/19/2018 18:48
Donald Trump,Adults,3/18/2018,39.85175,43.49009,36.21341,54.16991,58.31991,50.01992,3/18/2018 11:46
